,Category,Difference Method,Percentage Method,Date,Year,Month,Rolling Total
2020-02-01,Energiesteuer,40884.985940632956,40824.33768482204,2020-02-01,2020,2,40824.33768482204
2020-03-01,Energiesteuer,40884.985940632956,40823.252415217816,2020-03-01,2020,3,40823.252415217816
2020-04-01,Energiesteuer,40884.985940632956,40708.77943214871,2020-04-01,2020,4,40708.77943214871
2020-05-01,Energiesteuer,40884.985940632956,40836.458139933806,2020-05-01,2020,5,40836.458139933806
2020-06-01,Energiesteuer,40884.985940632956,40809.30879206808,2020-06-01,2020,6,40809.30879206808
2020-07-01,Energiesteuer,40884.985940632956,40841.241448018016,2020-07-01,2020,7,40841.241448018016
2020-08-01,Energiesteuer,40884.985940632956,40857.053243715665,2020-08-01,2020,8,40857.053243715665
2020-09-01,Energiesteuer,40884.985940632956,40871.820993745336,2020-09-01,2020,9,40871.820993745336
2020-10-01,Energiesteuer,40884.985940632956,40874.683347303544,2020-10-01,2020,10,40874.683347303544
2020-11-01,Energiesteuer,40884.985940632956,40928.40281335825,2020-11-01,2020,11,40884.985940632956
2020-12-01,Energiesteuer,40884.985940632956,40943.62751730093,2020-12-01,2020,12,40884.985940632956
2019-01-01,Tabaksteuer,14356.154346989446,14339.174812601977,2019-01-01,2019,1,14339.174812601977
2019-02-01,Tabaksteuer,14329.468767424694,14339.173354337301,2019-02-01,2019,2,14329.468767424694
2019-03-01,Tabaksteuer,14351.219297153966,14339.174588643637,2019-03-01,2019,3,14339.174588643637
2019-04-01,Tabaksteuer,14381.761843990715,14339.176525923982,2019-04-01,2019,4,14339.176525923982
2019-05-01,Tabaksteuer,14426.766860177439,14339.179374054314,2019-05-01,2019,5,14339.179374054314
2019-06-01,Tabaksteuer,14392.101032279226,14339.177082928036,2019-06-01,2019,6,14339.177082928036
2019-07-01,Tabaksteuer,14351.832236650947,14339.174488321953,2019-07-01,2019,7,14339.174488321953
2019-08-01,Tabaksteuer,14335.566714756449,14339.173480617324,2019-08-01,2019,8,14335.566714756449
2019-09-01,Tabaksteuer,14321.88962036569,14339.172642464524,2019-09-01,2019,9,14321.88962036569
2019-10-01,Tabaksteuer,14340.57590847275,14339.173773546796,2019-10-01,2019,10,14339.173773546796
2019-11-01,Tabaksteuer,14322.37786023411,14339.17265457772,2019-11-01,2019,11,14322.37786023411
2019-12-01,Tabaksteuer,14326.311787645256,14339.172892799199,2019-12-01,2019,12,14326.311787645256
2020-01-01,Tabaksteuer,14334.511221942872,14339.173390748387,2020-01-01,2020,1,14334.511221942872
2020-02-01,Tabaksteuer,14332.78916788036,14339.173285447749,2020-02-01,2020,2,14332.78916788036
2020-03-01,Tabaksteuer,14343.693654165518,14339.173951373783,2020-03-01,2020,3,14339.173951373783
2020-04-01,Tabaksteuer,14364.764378264628,14339.175250226612,2020-04-01,2020,4,14339.175250226612
2020-05-01,Tabaksteuer,14338.282441599238,14339.17358769912,2020-05-01,2020,5,14338.282441599238
2020-06-01,Tabaksteuer,14355.90974326469,14339.174669256474,2020-06-01,2020,6,14339.174669256474
2020-07-01,Tabaksteuer,14327.21411894244,14339.172881615837,2020-07-01,2020,7,14327.21411894244
2020-08-01,Tabaksteuer,14333.363179617705,14339.173255363246,2020-08-01,2020,8,14333.363179617705
2020-09-01,Tabaksteuer,14354.35198550383,14339.17453777256,2020-09-01,2020,9,14339.17453777256
2020-10-01,Tabaksteuer,14316.30977678852,14339.172171075104,2020-10-01,2020,10,14316.30977678852
2020-11-01,Tabaksteuer,14330.575605115946,14339.17303022721,2020-11-01,2020,11,14330.575605115946
2020-12-01,Tabaksteuer,14331.231505110725,14339.17307020753,2020-12-01,2020,12,14331.231505110725
2019-01-01,Solidaritätszuschlag,18999.967758021296,19097.92549453207,2019-01-01,2019,1,18999.967758021296
2019-02-01,Solidaritätszuschlag,19080.104337166555,19195.03345435028,2019-02-01,2019,2,19080.104337166555
2019-03-01,Solidaritätszuschlag,19171.65443415391,19151.014792952003,2019-03-01,2019,3,19151.014792952003
2019-04-01,Solidaritätszuschlag,19251.979666486637,19254.646880203418,2019-04-01,2019,4,19251.979666486637
2019-05-01,Solidaritätszuschlag,19322.306279883316,19388.805929221646,2019-05-01,2019,5,19322.306279883316
2019-06-01,Solidaritätszuschlag,19415.742908745397,19311.361109089485,2019-06-01,2019,6,19311.361109089485
2019-07-01,Solidaritätszuschlag,19491.351811391312,19433.50163757048,2019-07-01,2019,7,19433.50163757048
